"id","repo","file_path","embed_method","content"
96,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/auth/PinEntryPresenter.java","kotlin_cannot_identify","crashLogger.logEvent(""password changed elsewhere. Pin is reset"") "
97,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/ActivitiesInteractor.java","kotlin_cannot_identify","analytics.logEvent(SimpleBuyAnalytics.BANK_DETAILS_CANCEL_ERROR) "
98,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/ActivitiesFragment.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.WALLET_PICKER_SHOWN) "
99,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/ActivitiesFragment.java","kotlin_cannot_identify","analytics.logEvent(SimpleBuyAnalytics.BANK_DETAILS_CANCEL_CONFIRMED) "
100,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/ActivitiesFragment.java","kotlin_cannot_identify","analytics.logEvent(SimpleBuyAnalytics.BANK_DETAILS_CANCEL_GO_BACK) "
101,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_BUY_PURCHASE_AGAIN) "
102,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_SEND_CONFIRMING) "
103,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_FEE_PENDING)"
104,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_SWAP_PENDING)"
105,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_BUY_AWAITING_FUNDS) "
106,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_BUY_PENDING) "
107,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_BUY_CANCEL) "
108,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_FEE_VIEW_EXPLORER) "
109,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_SEND_VIEW_EXPLORER) "
110,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_SWAP_VIEW_EXPLORER) "
111,"https://github.com/blockchain/My-Wallet-V3-Android","My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/detail/ActivityDetailsBottomSheet.java","kotlin_cannot_identify","analytics.logEvent(ActivityAnalytics.DETAILS_RECEIVE_VIEW_EXPLORER)"
